ct,name,class,z,N_HI,flag,Q,L_UV,SI_UV,n_rad,fit,L_21,TO,SI,L_21ssd,TOssd,thick,thin
1,PKS0001-111,G,1.47401,17.9,non,52.644,20.15,-4.840211532129106,6,1,27.615,6.927,-0.778,,,,
2,B20003+38A,Q,0.229,18.55,det,54.668,21.423,-0.8587002068955052,13,1,25.996,9.355,-0.012,,,,
3,GALEXMSCJ000319.43+212946.0,Q,0.452,19.61,non,,,,27,2,-113.515,9.87,28.24,,10.06,0.811,-1.773
4,WISEAJ000353.27+121024.0,R,0.763244,17.87,non,,,,5,1,,10.993,-0.613,,,,
5,4C+40.01,G,0.255,18.4,non,54.416,21.099,-0.7267417477344044,22,1,,10.461,-0.352,,,,
6,GB6J0021+7312,G,0.821,17.71,non,,,,7,2,,9.21,,,9.453,0.526,-0.952
7,4C+00.02,G,0.305,18.19,non,53.2,20.127,-1.2750737854579712,24,2,,8.61,,,9.571,-0.027,-1.354
8,PKS0022-423,Q,0.937,18.05,non,,,,18,2,,9.59,,,9.729,0.895,-1.407
9,PKS0023-26,G,0.32162,18.36,det,53.02,20.272,-2.696051664786636,31,2,,8.14,,,9.03,0.109,-0.94
10,WISEAJ003058.28+011559.5,R,0.3748,18.22,non,,,,6,1,,6.163,-0.749,,,,
11,MRC0030-220,Q,0.806,18.62,non,55.384,22.268,-1.156055307324951,6,1,,6.938,-0.795,,,,
12,MRSS473-022361,Q,0.333,18.28,non,54.644,21.693,-1.6909706747413964,6,1,,6.818,-0.817,,,,
13,B20032+27,V,2.9642,18.79,non,,,,12,2,,8.95,,,10.661,-0.198,-0.885
14,B20032+30,G,0.1744,18.06,non,,,,6,1,,6.905,-1.024,,,,
15,MRC0035-231,G,0.685,18.3,non,,,,6,2,,8.04,,,8.785,0.051,-1.377
16,3C017,G,0.21968,17.67,non,54.543,21.363,-0.998196162156075,31,1,,-65.84,-0.743,,,,
17,B30035+413,Q,1.353,18.14,non,56.015,22.685,-0.7069051853951166,17,2,,9.57,,,10.468,0.157,-1.0
18,4C+36.01,q,0.366,17.97,non,54.759,21.506,-0.8427320471735011,12,1,,14.818,-0.589,,,,
19,PKS0035-216,G,0.338,17.23,non,,,,10,2,,8.75,,,9.06,0.422,-0.855
20,PKS0039-44,G,0.346,18.43,non,54.593,21.508,-1.2403116655270607,16,1,,6.915,-0.899,,,,
21,MRC0042-248,Q,0.807,18.41,non,,,,6,1,,2.559,-0.822,,,,
22,MRC0050-222,G,0.654,18.22,non,,,,7,1,,6.544,-0.795,,,,
23,MRC0058-229,G,0.706,18.69,non,,,,7,1,,-29.127,-0.908,,,,
24,3C032,G,0.4,17.88,non,,,,17,1,,7.469,-1.074,,,,
25,MRC0106-233,Q,0.818,18.54,non,55.537,22.478,-1.3192484382998095,8,1,,3.221,-0.712,,,,
26,WISEJ011327.00+494824.0,Q,0.389,17.78,non,55.475,22.269,-0.9375320630793424,15,1,,10.702,-0.131,,,,
27,OC+314,G,0.66847,19.36,det,,17.056,0.5429373988462445,50,2,,9.9,,,9.839,1.477,-1.158
28,4C+07.04,R,0.343,17.18,non,,,,14,2,,8.08,,,9.871,-3.911,-0.433
29,3C038,G,0.565,17.17,non,,,,20,1,,6.681,-0.843,,,,
30,MRC0118-272,Q,0.557,17.86,non,56.293,23.094,-0.9536844272722522,25,1,,11.464,-0.166,,,,
31,NVSSJ012142+132058,G,3.516,17.62,non,,,,3,1,,6.235,-1.218,,,,
32,UM321,Q,1.07481,18.04,non,56.964,23.851,-1.1633653940982198,35,1,,-2.12,-0.103,,,,
33,MRC0123-226,Q,0.72,18.21,non,56.033,22.974,-1.316215458635997,13,1,,10.679,-0.508,,,,
34,3C043,Q,1.459,17.46,non,55.263,21.903,-0.6589694851092528,26,1,,-28.089,-0.742,,,,
35,4C-00.11,Q,0.879,16.76,non,54.531,21.218,-0.7328392840866355,13,1,,11.554,-0.584,,,,
36,MRC0135-247,Q,0.838,18.72,non,56.495,23.284,-0.92820315121122,29,1,,9.948,-0.182,,,,
37,3C048,Q,0.367,16.78,non,55.935,22.829,-1.1831789137846758,36,2,,7.6,,,7.436,2.766,-0.358
38,UM355,G,0.26168,18.26,non,55.212,21.988,-0.9001968935303888,15,1,,21.828,-0.72,,,,
39,OC-065,Q,0.733,18.28,non,56.246,23.046,-0.9507335310652544,29,1,,7.021,-0.123,,,,
40,3C049,G,0.621,18.04,det,54.259,21.017,-0.8649702048956482,21,1,,5.53,-0.728,,,,
41,MRC0143-246,G,0.716,18.3,non,,,,8,1,,0.822,-0.888,,,,
42,MRC0144-227,G,0.6,18.04,non,,,,7,1,,6.997,-0.715,,,,
43,[HB89]0145+386,Q,1.442,18.34,non,55.956,22.83,-1.1301401782920177,8,2,,9.96,,,9.963,0.426,-0.37
44,4C-02.08,RadioS,0.95904,19.32,det,,,,12,1,,7.844,-0.751,,,,
45,MRC0149-299,G,0.603,18.3,non,,,,11,1,,6.455,-0.889,,,,
46,LEDA2822862,Q,0.616,17.98,non,56.204,23.113,-1.2235238291386827,14,1,,3.576,-0.723,,,,
47,3C057,Q,0.669,17.8,non,57.113,24.059,-1.330146505772542,24,1,,6.199,-0.537,,,,
48,MRC0201-214,G,0.915,19.0,non,,,,5,2,,8.67,,,8.763,0.636,-0.86
49,PKS0201+113,Q,3.639,18.46,non,56.929,23.686,-0.8609108152909172,21,2,,10.16,,,10.227,0.663,-0.68
50,4C+15.05,Q,0.8336,19.39,det,53.972,20.548,-0.5687323913984093,52,1,,6.913,-0.294,,,,
51,MRC0205-229,G,0.68,18.52,non,,,,7,1,,4.77,-0.787,,,,
